sort,WKT,Layer,SubClasses,ExtendedEn,Linetype,EntityHand,Text,Z,Extracted_,Difference,
0.003556252,POINT Z (1528123.98 3799239.49 4421.64),DTM_POINT,AcDbEntity:AcDbPoint,,,F8B,,1347.030266,1347.718567,-0.68830169,<Geometry>POINT Z (1528123.98 3799239.49 4421.64)</Geometry>
0.003746092,POINT Z (1528327.49 3799292.21 4422.14),DTM_POINT,AcDbEntity:AcDbPoint,,,502,,1347.23734,1347.870968,-0.63362789,<Geometry>POINT Z (1528327.49 3799292.21 4422.14)</Geometry>
0.003867115,POINT Z (1528027.14 3799257.37 4420.7),DTM_POINT,AcDbEntity:AcDbPoint,,,C94,,1346.928253,1347.432055,-0.50380228,<Geometry>POINT Z (1528027.14 3799257.37 4420.7)</Geometry>
0.003961032,POINT Z (1528352.19 3799297.98 4422.26),DTM_POINT,AcDbEntity:AcDbPoint,,,853,,1347.23211,1347.907544,-0.67543342,<Geometry>POINT Z (1528352.19 3799297.98 4422.26)</Geometry>
0.004466786,POINT Z (1528302.41 3799202.85 4420.69),DTM_POINT,AcDbEntity:AcDbPoint,,,EA7,,1347.203545,1347.429007,-0.22546209,<Geometry>POINT Z (1528302.41 3799202.85 4420.69)</Geometry>
0.004649989,POINT Z (1527993.92 3799317.28 4421.09),DTM_POINT,AcDbEntity:AcDbPoint,,,16B9,,1346.929995,1347.550927,-0.62093211,<Geometry>POINT Z (1527993.92 3799317.28 4421.09)</Geometry>
0.004806779,POINT Z (1528701.82 3799281.72 4422.39),DTM_POINT,AcDbEntity:AcDbPoint,,,461,,1347.431666,1347.947168,-0.51550203,<Geometry>POINT Z (1528701.82 3799281.72 4422.39)</Geometry>
0.004816756,POINT Z (1528195.9 3799302.92 4421.24),DTM_POINT,AcDbEntity:AcDbPoint,,,10C0,,1347.136365,1347.596647,-0.46028203,<Geometry>POINT Z (1528195.9 3799302.92 4421.24)</Geometry>
0.004903566,POINT Z (1528067.37 3799248.81 4421.14),DTM_POINT,AcDbEntity:AcDbPoint,,,CE5,,1346.976812,1347.566167,-0.58935561,<Geometry>POINT Z (1528067.37 3799248.81 4421.14)</Geometry>
0.005023607,POINT Z (1528272.37 3799261.91 4421.22),DTM_POINT,AcDbEntity:AcDbPoint,,,387,,1347.203951,1347.590551,-0.38660042,<Geometry>POINT Z (1528272.37 3799261.91 4421.22)</Geometry>
0.00505983,POINT Z (1527748.12 3799232.36 4420.31),DTM_POINT,AcDbEntity:AcDbPoint,,,1.40E+06,,1346.734617,1347.313183,-0.57856568,<Geometry>POINT Z (1527748.12 3799232.36 4420.31)</Geometry>
0.005470895,POINT Z (1528336.69 3799312.62 4422.28),DTM_POINT,AcDbEntity:AcDbPoint,,,79F,,1347.234727,1347.91364,-0.6789131,<Geometry>POINT Z (1528336.69 3799312.62 4422.28)</Geometry>
0.005492366,POINT Z (1528082.17 3799297.14 4422.66),DTM_POINT,AcDbEntity:AcDbPoint,,,9A8,,1347.032651,1348.029464,-0.99681266,<Geometry>POINT Z (1528082.17 3799297.14 4422.66)</Geometry>
0.005541438,POINT Z (1528681.72 3799258.31 4422.11),DTM_POINT,AcDbEntity:AcDbPoint,,,339,,1347.435399,1347.861824,-0.426425,<Geometry>POINT Z (1528681.72 3799258.31 4422.11)</Geometry>
0.005768639,POINT Z (1528352.95 3799218.06 4420.94),DTM_POINT,AcDbEntity:AcDbPoint,,,175,,1347.237484,1347.505207,-0.26772294,<Geometry>POINT Z (1528352.95 3799218.06 4420.94)</Geometry>
0.005881574,POINT Z (1528417.83 3799319.57 4422.08),DTM_POINT,AcDbEntity:AcDbPoint,,,71C,,1347.320758,1347.85268,-0.53192135,<Geometry>POINT Z (1528417.83 3799319.57 4422.08)</Geometry>
0.005916414,POINT Z (1528357.88 3799301.87 4422.34),DTM_POINT,AcDbEntity:AcDbPoint,,,58A,,1347.231474,1347.931928,-0.70045351,<Geometry>POINT Z (1528357.88 3799301.87 4422.34)</Geometry>
0.005967015,POINT Z (1528078.61 3799202.93 4421),DTM_POINT,AcDbEntity:AcDbPoint,,,ED2,,1346.936968,1347.523495,-0.58652664,<Geometry>POINT Z (1528078.61 3799202.93 4421)</Geometry>
0.006023098,POINT Z (1528255.8 3799266.78 4421.35),DTM_POINT,AcDbEntity:AcDbPoint,,,FDB,,1347.162338,1347.630175,-0.4678375,<Geometry>POINT Z (1528255.8 3799266.78 4421.35)</Geometry>
0.006199989,POINT Z (1528401.49 3799237.98 4420.63),DTM_POINT,AcDbEntity:AcDbPoint,,,BCF,,1347.234054,1347.410719,-0.17666501,<Geometry>POINT Z (1528401.49 3799237.98 4420.63)</Geometry>
0.006228966,POINT Z (1528252.36 3799303.36 4421.82),DTM_POINT,AcDbEntity:AcDbPoint,,,10A0,,1347.156541,1347.773432,-0.61689082,<Geometry>POINT Z (1528252.36 3799303.36 4421.82)</Geometry>
0.006247645,POINT Z (1527717.29 3799307.33 4420.45),DTM_POINT,AcDbEntity:AcDbPoint,,,174C,,1346.733198,1347.355855,-0.62265717,<Geometry>POINT Z (1527717.29 3799307.33 4420.45)</Geometry>
0.006439194,POINT Z (1528418.12 3799297.56 4422.11),DTM_POINT,AcDbEntity:AcDbPoint,,,812,,1347.303568,1347.861824,-0.5582553,<Geometry>POINT Z (1528418.12 3799297.56 4422.11)</Geometry>
0.006450569,POINT Z (1527902.9 3799259.24 4420.62),DTM_POINT,AcDbEntity:AcDbPoint,,,154B,,1346.829055,1347.407671,-0.57861574,<Geometry>POINT Z (1527902.9 3799259.24 4420.62)</Geometry>
0.006623167,POINT Z (1527883.04 3799237.49 4420.59),DTM_POINT,AcDbEntity:AcDbPoint,,,1306,,1346.837649,1347.398527,-0.56087751,<Geometry>POINT Z (1527883.04 3799237.49 4420.59)</Geometry>
0.006675263,POINT Z (1528288.3 3799221.79 4420.67),DTM_POINT,AcDbEntity:AcDbPoint,,,D65,,1347.191965,1347.422911,-0.23094555,<Geometry>POINT Z (1528288.3 3799221.79 4420.67)</Geometry>
0.006810541,POINT Z (1528471.23 3799312.6 4421.93),DTM_POINT,AcDbEntity:AcDbPoint,,,741,,1347.337338,1347.80696,-0.46962185,<Geometry>POINT Z (1528471.23 3799312.6 4421.93)</Geometry>
0.007163414,POINT Z (1528012.73 3799262.84 4420.67),DTM_POINT,AcDbEntity:AcDbPoint,,,104F,,1346.933432,1347.422911,-0.48947889,<Geometry>POINT Z (1528012.73 3799262.84 4420.67)</Geometry>
0.007218106,POINT Z (1528313.05 3799228.86 4420.96),DTM_POINT,AcDbEntity:AcDbPoint,,,1EE,,1347.231631,1347.511303,-0.27967226,<Geometry>POINT Z (1528313.05 3799228.86 4420.96)</Geometry>
0.007218467,POINT Z (1527768.22 3799272.19 4420.82),DTM_POINT,AcDbEntity:AcDbPoint,,,160A,,1346.770822,1347.468631,-0.69780901,<Geometry>POINT Z (1527768.22 3799272.19 4420.82)</Geometry>
0.007282276,POINT Z (1528211.04 3799203.06 4420.69),DTM_POINT,AcDbEntity:AcDbPoint,,,EAF,,1347.131669,1347.429007,-0.29733785,<Geometry>POINT Z (1528211.04 3799203.06 4420.69)</Geometry>
0.007348631,POINT Z (1527922.63 3799211.35 4420.29),DTM_POINT,AcDbEntity:AcDbPoint,,,13A4,,1346.834937,1347.307087,-0.4721498,<Geometry>POINT Z (1527922.63 3799211.35 4420.29)</Geometry>
0.007575884,POINT Z (1528742.04 3799293.51 4423.3),DTM_POINT,AcDbEntity:AcDbPoint,,,751,,1347.448597,1348.224536,-0.77593905,<Geometry>POINT Z (1528742.04 3799293.51 4423.3)</Geometry>
0.007636402,POINT Z (1528431.57 3799272.67 4421.94),DTM_POINT,AcDbEntity:AcDbPoint,,,401,,1347.299014,1347.810008,-0.51099325,<Geometry>POINT Z (1528431.57 3799272.67 4421.94)</Geometry>
0.007736748,POINT Z (1528284.54 3799206.79 4420.45),DTM_POINT,AcDbEntity:AcDbPoint,,,F3,,1347.162087,1347.355855,-0.19376755,<Geometry>POINT Z (1528284.54 3799206.79 4420.45)</Geometry>
0.008065805,POINT Z (1528299.25 3799261.72 4421.55),DTM_POINT,AcDbEntity:AcDbPoint,,,AC1,,1347.237697,1347.691135,-0.45343818,<Geometry>POINT Z (1528299.25 3799261.72 4421.55)</Geometry>
0.008338619,POINT Z (1527953.44 3799318.98 4421.05),DTM_POINT,AcDbEntity:AcDbPoint,,,16ED,,1346.939998,1347.538735,-0.59873743,<Geometry>POINT Z (1527953.44 3799318.98 4421.05)</Geometry>
0.00875681,POINT Z (1528151.67 3799307.39 4421.12),DTM_POINT,AcDbEntity:AcDbPoint,,,10F1,,1347.113197,1347.560071,-0.44687413,<Geometry>POINT Z (1528151.67 3799307.39 4421.12)</Geometry>
0.008928292,POINT Z (1528132.38 3799245.77 4421.22),DTM_POINT,AcDbEntity:AcDbPoint,,,CBF,,1347.032306,1347.590551,-0.55824505,<Geometry>POINT Z (1528132.38 3799245.77 4421.22)</Geometry>
0.009154766,POINT Z (1528691.71 3799264.21 4422.17),DTM_POINT,AcDbEntity:AcDbPoint,,,8CF,,1347.434154,1347.880112,-0.44595795,<Geometry>POINT Z (1528691.71 3799264.21 4422.17)</Geometry>
0.009200343,POINT Z (1528621.65 3799212.2 4421.72),DTM_POINT,AcDbEntity:AcDbPoint,,,C4D,,1347.43577,1347.742951,-0.30718176,<Geometry>POINT Z (1528621.65 3799212.2 4421.72)</Geometry>
0.009574057,POINT Z (1527823.19 3799221.01 4420.47),DTM_POINT,AcDbEntity:AcDbPoint,,,134F,,1346.783069,1347.361951,-0.57888206,<Geometry>POINT Z (1527823.19 3799221.01 4420.47)</Geometry>
0.009719846,POINT Z (1528413.05 3799202.98 4421.26),DTM_POINT,AcDbEntity:AcDbPoint,,,DBC,,1347.250213,1347.602743,-0.3525298,<Geometry>POINT Z (1528413.05 3799202.98 4421.26)</Geometry>
0.010135457,POINT Z (1528193.21 3799273.19 4421.11),DTM_POINT,AcDbEntity:AcDbPoint,,,A88,,1347.132615,1347.557023,-0.42440822,<Geometry>POINT Z (1528193.21 3799273.19 4421.11)</Geometry>
0.010371841,POINT Z (1528236.88 3799292.99 4421.6),DTM_POINT,AcDbEntity:AcDbPoint,,,1072,,1347.137321,1347.706375,-0.56905448,<Geometry>POINT Z (1528236.88 3799292.99 4421.6)</Geometry>
0.010382306,POINT Z (1528592.17 3799286.77 4421.76),DTM_POINT,AcDbEntity:AcDbPoint,,,49F,,1347.383357,1347.755144,-0.37178656,<Geometry>POINT Z (1528592.17 3799286.77 4421.76)</Geometry>
0.010476353,POINT Z (1527829.45 3799255.95 4420.62),DTM_POINT,AcDbEntity:AcDbPoint,,,1566,,1346.832521,1347.407671,-0.57515018,<Geometry>POINT Z (1527829.45 3799255.95 4420.62)</Geometry>
0.010584054,POINT Z (1528753.1 3799228.05 4422.31),DTM_POINT,AcDbEntity:AcDbPoint,,,A96,,1347.510921,1347.922784,-0.4118626,<Geometry>POINT Z (1528753.1 3799228.05 4422.31)</Geometry>
0.010880265,POINT Z (1528569.33 3799242.07 4421.49),DTM_POINT,AcDbEntity:AcDbPoint,,,AA0,,1347.340198,1347.672847,-0.33264905,<Geometry>POINT Z (1528569.33 3799242.07 4421.49)</Geometry>
0.010892321,POINT Z (1528327.38 3799252.35 4421.35),DTM_POINT,AcDbEntity:AcDbPoint,,,B44,,1347.237995,1347.630175,-0.39218011,<Geometry>POINT Z (1528327.38 3799252.35 4421.35)</Geometry>
0.011043168,POINT Z (1528472.6 3799221.7 4421.28),DTM_POINT,AcDbEntity:AcDbPoint,,,1A7,,1347.340097,1347.608839,-0.26874199,<Geometry>POINT Z (1528472.6 3799221.7 4421.28)</Geometry>
0.011272933,POINT Z (1527938.35 3799276.84 4420.79),DTM_POINT,AcDbEntity:AcDbPoint,,,15B9,,1346.890294,1347.459487,-0.56919335,<Geometry>POINT Z (1527938.35 3799276.84 4420.79)</Geometry>
0.011434518,POINT Z (1527988.89 3799316.79 4421.07),DTM_POINT,AcDbEntity:AcDbPoint,,,16BA,,1346.931643,1347.544831,-0.61318837,<Geometry>POINT Z (1527988.89 3799316.79 4421.07)</Geometry>
0.011469672,POINT Z (1528272.22 3799296.56 4421.91),DTM_POINT,AcDbEntity:AcDbPoint,,,1073,,1347.205119,1347.800864,-0.59574449,<Geometry>POINT Z (1528272.22 3799296.56 4421.91)</Geometry>
0.011513738,POINT Z (1528346.58 3799265.98 4421.89),DTM_POINT,AcDbEntity:AcDbPoint,,,3A9,,1347.236209,1347.794768,-0.55855877,<Geometry>POINT Z (1528346.58 3799265.98 4421.89)</Geometry>
0.011756302,POINT Z (1528518.63 3799238.0 4421.86),DTM_POINT,AcDbEntity:AcDbPoint,,,B2B,,1347.335445,1347.785624,-0.45017858,<Geometry>POINT Z (1528518.63 3799238.0 4421.86)</Geometry>
